,Player,Nation,Pos,Squad.2,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att_(GK),Thr,Launch%,AvgLen,Att1,Launch%1,AvgLen1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,4.0,5,1,0,1,0,4.3,0.22,-0.7,-0.18,8,21,38.1,123,26,14.6,27.1,19,15.8,25.2,58,4,6.9,2,0.5,12.1
1,Emil Audero,id IDN,GK,Inter,26,1997,1.0,3,0,0,0,0,2.2,0.44,-0.8,-0.79,1,2,50.0,30,6,6.7,23.7,7,0.0,27.1,8,1,12.5,2,2.0,18.3
2,David von Ballmoos,ch SUI,GK,Young Boys,28,1994,1.0,2,0,0,0,0,1.1,0.54,-0.9,-0.93,5,14,35.7,35,6,37.1,33.0,2,50.0,45.5,4,1,25.0,0,0.0,6.0
3,Walter Benítez,ar ARG,GK,PSV Eindhoven,30,1993,8.0,13,0,0,1,0,10.9,0.33,-2.1,-0.26,33,86,38.4,220,27,30.0,30.4,50,40.0,35.4,89,1,1.1,6,0.75,18.0
4,Justin Bijlow,nl NED,GK,Feyenoord,25,1998,4.0,7,2,0,1,2,7.0,0.34,2.0,0.5,6,24,25.0,166,14,12.0,22.7,12,33.3,34.0,31,1,3.2,12,3.0,18.6
5,Janis Blaswich,de GER,GK,RB Leipzig,32,1991,5.0,9,0,0,0,1,8.0,0.39,0.0,-0.01,26,45,57.8,200,17,18.0,27.6,41,22.0,28.0,58,0,0.0,5,1.0,19.4
6,Jean Butez,fr FRA,GK,Antwerp,28,1995,5.0,15,0,1,1,1,10.5,0.35,-3.5,-0.7,34,78,43.6,200,26,36.5,33.2,16,31.3,36.9,52,8,15.4,3,0.6,12.7
7,Diogo Costa,pt POR,GK,Porto,23,1999,8.3,9,0,0,0,1,5.9,0.22,-2.1,-0.27,39,118,33.1,322,37,28.9,33.2,52,48.1,42.1,86,8,9.3,14,1.75,16.4
8,Thibaut Courtois,be BEL,GK,Real Madrid,31,1992,1.0,0,0,0,0,0,0.8,0.27,0.8,0.8,1,5,20.0,21,5,19.0,24.0,2,50.0,47.0,16,1,6.3,0,0.0,9.3
9,Marko Dmitrović,rs SRB,GK,Sevilla,31,1992,4.0,8,1,1,0,1,6.5,0.38,-0.5,-0.13,25,76,32.9,109,10,46.8,36.9,38,65.8,49.4,53,6,11.3,2,0.5,9.1
10,Gianluigi Donnarumma,it ITA,GK,Paris S-G,24,1999,12.0,15,0,0,3,0,14.8,0.29,-0.2,-0.01,31,72,43.1,283,45,18.4,26.7,71,28.2,29.0,108,2,1.9,18,1.5,15.5
11,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,1.0,2,0,0,1,0,1.5,0.75,-0.5,-0.51,3,9,33.3,29,5,24.1,28.5,5,40.0,41.8,6,0,0.0,0,0.0,14.0
12,Ederson,br BRA,GK,Manchester City,29,1993,7.3,6,0,0,0,0,5.5,0.45,-0.5,-0.08,20,29,69.0,226,29,11.9,24.7,23,8.7,21.5,43,4,9.3,6,0.86,14.4
13,Omri Glazer,il ISR,GK,Red Star,27,1996,6.0,15,2,1,2,1,15.1,0.31,1.1,0.18,30,61,49.2,124,16,34.7,33.9,53,34.0,33.8,84,1,1.2,5,0.83,11.9
14,Kamil Grabara,pl POL,GK,FC Copenhagen,24,1999,8.0,14,1,0,3,0,13.3,0.3,-0.7,-0.09,44,123,35.8,224,41,36.2,34.6,64,65.6,49.8,138,6,4.3,3,0.38,9.5
15,Péter Gulácsi,hu HUN,GK,RB Leipzig,33,1990,3.0,3,0,0,0,0,2.6,0.29,-0.4,-0.14,0,9,0.0,80,9,7.5,23.8,22,13.6,27.0,32,0,0.0,3,1.0,24.2
16,Joe Hart,eng ENG,GK,Celtic,36,1987,6.0,15,0,1,2,0,13.3,0.31,-1.7,-0.28,11,30,36.7,192,36,12.0,23.8,52,13.5,22.4,84,1,1.2,1,0.17,5.9
17,Gregor Kobel,ch SUI,GK,Dortmund,25,1997,12.0,10,1,0,1,1,15.7,0.25,6.7,0.56,64,141,45.4,381,38,27.0,30.6,81,46.9,41.5,188,6,3.2,1,0.08,8.4
18,Senne Lammens,be BEL,GK,Antwerp,21,2002,1.0,2,1,0,1,0,1.9,0.19,-0.1,-0.07,6,33,18.2,44,4,52.3,41.7,12,83.3,56.8,16,1,6.3,0,0.0,13.8
19,Andriy Lunin,ua UKR,GK,Real Madrid,24,1999,8.3,10,1,1,0,0,11.9,0.23,1.9,0.24,31,82,37.8,204,39,28.4,30.2,54,44.4,37.8,97,10,10.3,3,0.38,8.9
20,Mike Maignan,fr FRA,GK,Milan,28,1995,5.9,8,1,0,2,0,6.8,0.22,-1.2,-0.2,31,61,50.8,145,29,32.4,34.2,37,37.8,40.9,69,4,5.8,9,1.53,13.5
21,Matheus,br BRA,GK,Braga,31,1992,6.0,12,0,0,1,2,10.6,0.33,0.6,0.1,26,71,36.6,173,27,28.9,31.0,40,52.5,37.9,82,1,1.2,9,1.5,17.5
22,Alex Meret,it ITA,GK,Napoli,26,1997,8.0,13,0,0,0,1,11.0,0.25,-1.0,-0.12,22,46,47.8,199,38,12.6,26.4,65,32.3,31.9,123,3,2.4,9,1.13,14.9
23,Alexander Meyer,de GER,GK,Dortmund,32,1991,1.0,1,1,0,0,0,1.3,0.06,0.3,0.25,6,13,46.2,42,5,23.8,29.7,8,37.5,39.6,20,2,10.0,0,0.0,8.7
24,Fernando Muslera,uy URU,GK,Galatasaray,37,1986,6.0,13,0,0,0,0,11.7,0.47,-1.3,-0.21,33,71,46.5,204,28,26.5,29.3,37,45.9,40.1,66,3,4.5,30,5.0,23.7
26,Manuel Neuer,de GER,GK,Bayern Munich,37,1986,9.0,8,2,0,1,0,10.8,0.33,2.8,0.31,34,70,48.6,315,34,21.0,28.9,31,12.9,26.5,78,3,3.8,11,1.22,18.9
27,Ørjan Nyland,no NOR,GK,Sevilla,32,1990,2.0,4,1,0,0,0,4.3,0.27,0.3,0.13,16,34,47.1,64,10,35.9,34.5,19,57.9,41.5,26,0,0.0,0,0.0,8.5
28,Jan Oblak,si SVN,GK,Atlético Madrid,30,1993,10.3,13,0,0,2,1,11.8,0.25,-0.2,-0.02,34,99,34.3,214,46,32.2,33.5,64,46.9,37.9,140,11,7.9,3,0.3,9.9
29,André Onana,cm CMR,GK,Manchester Utd,27,1996,6.0,15,2,2,1,0,12.9,0.29,-2.1,-0.34,39,94,41.5,210,26,38.6,34.6,19,68.4,48.2,77,2,2.6,2,0.33,9.0
30,Stefan Ortega,de GER,GK,Manchester City,30,1992,3.0,7,0,0,1,1,4.4,0.31,-1.6,-0.55,17,38,44.7,159,18,18.9,25.8,13,61.5,49.8,18,0,0.0,8,2.67,19.9
31,Iñaki Peña,es ESP,GK,Barcelona,24,1999,2.0,4,0,0,0,0,3.8,0.39,-0.2,-0.11,10,16,62.5,60,7,21.7,24.3,12,25.0,34.4,19,0,0.0,1,0.5,11.7
32,Nick Pope,eng ENG,GK,Newcastle Utd,31,1992,5.0,5,1,0,0,0,9.7,0.3,4.7,0.93,22,60,36.7,84,28,32.1,32.4,45,73.3,52.1,73,6,8.2,6,1.2,12.7
33,Ivan Provedel,it ITA,GK,Lazio,29,1994,8.0,10,0,0,1,0,11.1,0.38,1.1,0.14,18,45,40.0,205,31,16.1,27.4,39,30.8,31.8,88,3,3.4,7,0.88,17.0
34,Anthony Racioppi,ch SUI,GK,Young Boys,24,1998,5.0,11,2,0,3,0,13.8,0.3,2.8,0.56,31,80,38.8,178,25,35.4,34.3,31,54.8,45.5,67,1,1.5,4,0.8,13.5
35,Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,1.0,1,0,0,0,0,1.2,0.25,0.2,0.25,3,9,33.3,30,3,20.0,25.2,8,37.5,36.5,13,0,0.0,0,0.0,15.0
36,David Raya,es ESP,GK,Arsenal,27,1995,9.3,7,1,0,1,0,6.0,0.22,-1.0,-0.11,40,100,40.0,265,44,32.1,30.1,33,45.5,40.3,86,14,16.3,16,1.78,16.7
37,Álex Remiro,es ESP,GK,Real Sociedad,28,1995,8.0,6,0,0,1,0,7.9,0.31,1.9,0.23,55,144,38.2,229,8,50.7,40.6,30,93.3,64.8,81,2,2.5,6,0.75,15.6
38,Dmytro Riznyk,ua UKR,GK,Shakhtar,24,1999,6.0,12,0,0,1,0,11.3,0.31,-0.7,-0.12,27,61,44.3,174,24,26.4,28.0,31,48.4,42.2,93,8,8.6,10,1.67,16.3
39,Frederik Rønnow,dk DEN,GK,Union Berlin,30,1992,6.0,10,0,0,3,0,10.4,0.33,0.4,0.07,30,89,33.7,154,31,43.5,36.4,44,50.0,43.5,116,7,6.0,1,0.17,6.5
40,Brice Samba,fr FRA,GK,Lens,29,1994,6.0,11,2,0,1,0,10.0,0.25,-1.0,-0.16,40,86,46.5,182,27,38.5,36.5,28,57.1,43.6,83,7,8.4,7,1.17,14.6
41,Alexander Schlager,at AUT,GK,RB Salzburg,27,1996,6.0,8,2,0,1,0,9.7,0.23,1.7,0.28,33,86,38.4,210,20,31.4,33.4,46,43.5,38.9,87,3,3.4,7,1.17,14.0
42,Yann Sommer,ch SUI,GK,Inter,34,1988,7.3,4,0,0,0,0,6.9,0.24,2.9,0.42,16,55,29.1,281,32,17.4,25.6,39,15.4,25.5,108,6,5.6,4,0.57,11.4
43,Marco Sportiello,it ITA,GK,Milan,31,1992,0.1,0,0,0,0,0,0.1,0.07,0.1,0.63,2,2,100.0,5,2,20.0,30.8,2,50.0,46.0,1,0,0.0,0,0.0,3.0
44,Marc-André ter Stegen,de GER,GK,Barcelona,31,1992,8.0,10,1,0,1,0,9.8,0.3,-0.2,-0.03,31,73,42.5,260,29,23.8,30.9,32,34.4,37.5,90,5,5.6,13,1.63,19.8
45,Anatolii Trubin,ua UKR,GK,Benfica,21,2001,6.0,11,2,0,2,0,14.6,0.37,3.6,0.6,23,58,39.7,143,24,25.9,28.5,52,40.4,36.8,72,3,4.2,6,1.0,12.1
46,Sven Ulreich,de GER,GK,Bayern Munich,34,1988,3.0,5,1,0,0,0,5.3,0.37,0.3,0.11,13,37,35.1,118,14,28.8,29.7,19,15.8,22.5,35,1,2.9,2,0.67,11.2
47,Timon Wellenreuther,de GER,GK,Feyenoord,27,1995,2.0,3,0,0,1,0,2.5,0.41,-0.5,-0.26,1,6,16.7,62,7,9.7,22.5,9,0.0,15.4,11,0,0.0,0,0.0,10.5
